2025-01-18,21,28.929288312884683
2025-01-19,43,28.929288312884683
2025-01-20,100,42.27514576806698
2025-01-21,80,36.802050295981054
2025-01-22,47,44.28351131942989
2025-01-23,38,36.92866145381395
2025-01-24,29,34.7152759576598
2025-01-25,27,29.840047484694818
2025-01-26,23,29.00657211865172
2025-01-27,20,27.3172553504209
2025-01-28,28,27.79528918808846
2025-01-29,23,27.36065403910105
2025-01-30,20,27.18860580285987
2025-01-31,20,26.093784364927693
2025-02-01,21,24.053962900997654
2025-02-02,20,19.59329722937629
2025-02-03,22,20.78257490988377
2025-02-04,17,19.619009701135003
2025-02-05,20,17.190694289987935
2025-02-06,16,18.089786840553664
2025-02-07,15,17.05732521298496
2025-02-08,14,16.6054880102029
